fila,columna,tiempo
502,782,1209.59
502,802,1233.28
502,822,1257.26
502,842,1282.67
502,862,1304.29
502,882,1327.52
502,902,1355.43
502,922,1374.31
502,942,1397.58
502,962,1427.08
502,982,1436.4
522,2,2.27756
522,22,34.991
522,42,68.2768
522,62,91.0257
522,82,134.999
522,102,158.293
522,122,180.74
522,142,243.077
522,162,268.988
522,182,292.152
522,202,318.061
522,222,338.564
522,242,360.435
522,262,458.157
522,282,485.614
522,302,511.527
522,322,536.725
522,342,560.836
522,362,584.064
522,382,608.471
522,402,631.006
522,422,654.129
522,442,676.295
522,462,697.674
522,482,720.51
522,502,742.873
522,522,917.048
522,542,944.755
522,562,971.605
522,582,996.823
522,602,1022.93
522,622,1048.09
522,642,1074.64
522,662,1099.7
522,682,1125.29
522,702,1150.06
522,722,1172.6
522,742,1197.11
522,762,1222.14
522,782,1245.81
522,802,1270.42
522,822,1293.27
522,842,1316.14
522,862,1339.69
522,882,1361.47
522,902,1386.12
522,922,1407.69
522,942,1433.21
522,962,1455.97
522,982,1477.91
542,2,2.33494
542,22,35.8565
542,42,70.2462
542,62,112.254
542,82,138.809
542,102,162.535
542,122,222.898
542,142,249.838
542,162,276.584
542,182,300.628
542,202,324.573
542,222,347.749
542,242,370.489
542,262,471.612
542,282,499.328
542,302,524.56
542,322,550.621
542,342,582.322
542,362,600.591
542,382,624.709
542,402,649.034
542,422,672.281
542,442,699.11
542,462,719.281
542,482,741.054
542,502,917.925
542,522,947.051
542,542,975.338
542,562,1002.17
542,582,1029.72
542,602,1058.13
542,622,1086.58
542,642,1112.56
542,662,1139.91
542,682,1168.95
542,702,1182.74
542,722,1208.79
542,742,1237.2
542,762,1261.48
542,782,1285.3
542,802,1306.94
542,822,1332.14
542,842,1355.35
542,862,1385.68
542,882,1403.73
542,902,1426.55
542,922,1452.05
542,942,1478.32
542,962,1502.47
542,982,1833.57
562,2,2.39485
562,22,36.8022
562,42,72.1519
562,62,115.519
562,82,142.535
562,102,173.728
562,122,228.871
562,142,257.637
562,162,283.633
562,182,315.253
562,202,333.309
562,222,357.144
562,242,456.488
562,262,485.834
562,282,512.931
562,302,540.077
562,322,565.743
562,342,591.8
562,362,617.273
562,382,642.923
562,402,670.938
562,422,689.966
562,442,713.03
562,462,738.266
562,482,913.85
562,502,943.376
562,522,978.332
562,542,1005.83
562,562,1029.79
562,582,1054.1
562,602,1082.92
562,622,1110.76
562,642,1137.2
562,662,1162.46
562,682,1188.94
562,702,1213.94
562,722,1244.1
562,742,1265.85
562,762,1291.4
562,782,1316.96
562,802,1340.41
562,822,1365.2
562,842,1389.99
562,862,1415.06
562,882,1445.9
562,902,1469.55
562,922,1490.02
562,942,1819.47
562,962,1852.06
562,982,1879.25
582,2,2.44374
582,22,37.7388
582,42,73.9268
582,62,118.516
582,82,146.153
582,102,171.696
582,122,236.23
582,142,263.914
582,162,290.93
582,182,316.593
582,202,341.646
582,222,366.573
582,242,470.115
582,262,498.252
582,282,526.471
582,302,554.293
582,322,580.632
582,342,607.431
582,362,632.357
582,382,657.961
582,402,682.713
582,422,707.711
582,442,739.899
582,462,908.785
582,482,940.38
582,502,968.847
582,522,998.774
582,542,1026.52
582,562,1055.1
582,582,1084.19
582,602,1111.53
582,622,1138.57
582,642,1165.73
582,662,1193.62
582,682,1220.73
582,702,1246.86
582,722,1272.75
582,742,1300.6
582,762,1324.31
582,782,1350.62
582,802,1376.73
582,822,1402.92
582,842,1428.56
582,862,1456.08
582,882,1480.65
582,902,1813.05
582,922,1841.8
582,942,1874.61
582,962,1903.71
582,982,1936.9
602,2,2.4981
602,22,38.5729
602,42,75.5357
602,62,121.358
602,82,149.556
602,102,182.027
602,122,240.989
602,142,271.074
602,162,298.563
602,182,325.252
602,202,350.451
602,222,449.933
602,242,480.966
602,262,510.139
602,282,541.277
602,302,568.147
602,322,594.717
602,342,621.989
602,362,647.312
602,382,677.055
602,402,704.679
602,422,725.503
602,442,905.054
602,462,932.328
602,482,962.585
602,502,993.14
602,522,1028.94
602,542,1053.42
602,562,1083.23
602,582,1112.84
602,602,1140.37
602,622,1167.61
602,642,1199.6
602,662,1222.68
602,682,1249.38
602,702,1278.63
602,722,1311.46
602,742,1330.88
602,762,1358.66
602,782,1387.24
602,802,1412.55
602,822,1440.56
602,842,1463.66
602,862,1503.47
602,882,1839.45
602,902,1858.98
602,922,1892.62
602,942,1922.37
602,962,1953.64
602,982,1985.4
622,2,2.55989
622,22,39.6897
622,42,77.6815
622,62,130.936
622,82,153.625
622,102,180.234
622,122,247.943
622,142,277.519
622,162,312.539
622,182,332.819
622,202,359.678
622,222,462.93
622,242,494.018
622,262,524.782
622,282,554.15
622,302,581.664
622,322,611.094
622,342,638.601
622,362,665.359
622,382,692.838
622,402,718.651
622,422,745.26
622,442,928.065
622,462,962.526
622,482,989.993
622,502,1024.3
622,522,1050.99
622,542,1084.23
622,562,1110.4
622,582,1139.9
622,602,1168.07
622,622,1198.23
622,642,1229.89
622,662,1255.83
622,682,1282.24
622,702,1309.52
622,722,1337.85
622,742,1364.16
622,762,1391.46
622,782,1419.51
622,802,1447.89
622,822,1473.57
622,842,1499.9
622,862,1837.25
622,882,1872.98
622,902,1905.76
622,922,1939.08
622,942,1972.26
622,962,2001.93
622,982,2031.03
642,2,2.6298
642,22,40.5332
642,42,79.3501
642,62,127.472
642,82,156.793
642,102,185.267
642,122,253.009
642,142,283.949
642,162,312.321
642,182,346.87
642,202,367.38
642,222,474.739
642,242,505.644
642,262,537.772
642,282,567.137
642,302,596.432
642,322,624.219
642,342,652.369
642,362,680.215
642,382,706.87
642,402,733.428
642,422,914.055
642,442,948.09
642,462,979.846
642,482,1010.97
642,502,1044.06
642,522,1076.09
642,542,1107.41
642,562,1137.45
642,582,1164.84
642,602,1196.59
642,622,1224.76
642,642,1255.44
642,662,1282.78
642,682,1311.86
642,702,1339.93
642,722,1368.82
642,742,1398.02
642,762,1427.27
642,782,1455.08
642,802,1482.51
642,822,1815.47
642,842,1853.92
642,862,1886.12
642,882,1920.33
642,902,1951.74
642,922,1984.04
642,942,2020.25
642,962,2051.58
642,982,2085.03
662,2,2.69039
662,22,41.4491
662,42,81.143
662,62,130.906
662,82,160.433
662,102,232.643
662,122,260.149
662,142,290.123
662,162,320.14
662,182,348.215
662,202,455.869
662,222,486.409
662,242,517.615
662,262,549.198
662,282,580.15
662,302,611.249
